CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
ANEE82001C,5,D,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788809919679,"AA VV  ",NUOVO VIVA IMPARARE CL. 5 MATEMATICA,ND,2,GIUNTI SCUOLA,"12,50",No,Si,No
ANEE82001C,5,D,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DEI LINGUAGGI,9788809917606,"AA VV  ",NUOVO VIVA LEGGERE CL. 5,ND,2,GIUNTI SCUOLA,"20,96",No,Si,No
ANEE82001C,4,B,EE,CORSO A TEMPO MODULARE,RELIGIONE,9788846844552,"CAMPOLEONI ALBERTO - CRIPPA LUCA ",CASA CHE VOGLIAMO 4-5 (LA),ND,U,LA SPIGA,"8,19",Si,Si,No
ANEE82001C,4,B,EE,CORSO A TEMPO MODULARE,LINGUA INGLESE,9788847248533,BADIOLI CLAUDIA - JONES KIM - PREVITO ISABELLA,SUPER FRIENDS 4,ND,1,CELTIC PUBLISHING,"8,06",Si,Si,No
ANEE82001C,4,B,EE,CORSO A TEMPO MODULARE,SUSSIDIARIO DEI LINGUAGGI,9788873349723,"AA VV  ",LIBROAGENDA CL. 4 (IL),ND,1,GAIA EDIZIONI,"17,28",Si,Si,No
ANEE82001C,4,B,EE,CORSO A TEMPO MODULARE,SUSSIDIARIO DELLE DISCIPLINE,9788873345008,"AA VV  ",NUOVO VOCE DELLA TERRA CL. 4 (LA),ND,1,GAIA EDIZIONI,"21,46",Si,Si,No
ANEE82001C,5,B,EE,CORSO A TEMPO MODULARE,RELIGIONE,9788842618201,"BAZZI - CALFUS ",GOCCE DI VITA 4-5,ND,U,IL CAPITELLO,"8,19",No,No,No
ANEE82001C,5,B,EE,CORSO A TEMPO MODULARE,LINGUA INGLESE,9780194465083,"AA VV  ",LEARN WITH US 5,CB&WB CON QR CODE & EBK + CD 5,2,OXFORD UNIVERSITY PRESS,"10,08",No,Si,No
ANEE82001C,5,B,EE,CORSO A TEMPO MODULARE,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788847307438,"AA VV  ",NEL CUORE DEI SAPERI STO-GEO 5,ND,2,CETEM,"12,50",No,Si,No
ANEE82001C,5,B,EE,CORSO A TEMPO MODULARE,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788809919679,"AA VV  ",NUOVO VIVA IMPARARE CL. 5 MATEMATICA,ND,2,GIUNTI SCUOLA,"12,50",No,Si,No
ANEE82001C,5,B,EE,CORSO A TEMPO MODULARE,SUSSIDIARIO DEI LINGUAGGI,9788809917606,"AA VV  ",NUOVO VIVA LEGGERE CL. 5,ND,2,GIUNTI SCUOLA,"20,96",No,Si,No
ANEE82001C,5,E,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788842618201,"BAZZI - CALFUS ",GOCCE DI VITA 4-5,ND,U,IL CAPITELLO,"8,19",No,No,No
ANEE82001C,5,E,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9780194465083,"AA VV  ",LEARN WITH US 5,CB&WB CON QR CODE & EBK + CD 5,2,OXFORD UNIVERSITY PRESS,"10,08",No,Si,No
