CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
MTEE808013,3,B,EE,27 ORE SETTIMANALI,RELIGIONE,9788835056119,"CRISTIANI CLAUDIO  ",PONTI ARCOBALENO PLUS 1-2-3,RELIGIONE PRIMO ANNO + BIENNIO,U,LA SCUOLA EDITRICE,"8,19",No,No,No
MTEE808013,3,B,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788809964709,"AA VV  ",I LIKE GOLD CL. 3,ND,3,GIUNTI ELT,"8,06",No,Si,No
MTEE808013,3,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788809929999,"AA VV  ",MILLE AVVENTURE CL. 3,ND,3,GIUNTI SCUOLA,"26,71",No,Si,No
MTEE808013,4,A,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788835059479,"FABRIS FRANCESCA - BAFFETTI BARBARA ",CAMMINO CON TE 4-5,CORSO DI IRC PER LA SCUOLA PRIMARIA,U,LA SCUOLA EDITRICE,"8,19",Si,Si,No
MTEE808013,4,A,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788809964716,"AA VV  ",I LIKE GOLD CL. 4,ND,1,GIUNTI ELT,"8,06",Si,Si,No
MTEE808013,4,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788842635307,"AA VV  ",L'ALBERO DEI SAPERI 4 KIT ANTROPOLOGICO,STORIA - GEOGRAFIA - MAPPE STORIA E GEOGRAFIA,1,IL CAPITELLO,"10,73",Si,Si,No
MTEE808013,4,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788842635314,"AA VV  ",L'ALBERO DEI SAPERI 4 KIT SCIENTIFICO,MATEMATICA - SCIENZE - MAPPE MATEMATICA E SCIENZE,1,IL CAPITELLO,"10,73",Si,Si,No
MTEE808013,4,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DEI LINGUAGGI,9788842635246,"BERTI CRISTINA  ",L'ALBERO DELLE STORIE 4,LETTURE GRAMMATICA SCRITTURA ARTE E MUSICA,1,IL CAPITELLO,"17,28",Si,Si,No
MTEE808013,4,B,EE,27 ORE SETTIMANALI,RELIGIONE,9788835059479,"FABRIS FRANCESCA - BAFFETTI BARBARA ",CAMMINO CON TE 4-5,CORSO DI IRC PER LA SCUOLA PRIMARIA,U,LA SCUOLA EDITRICE,"8,19",Si,Si,No
MTEE808013,4,B,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788809964716,"AA VV  ",I LIKE GOLD CL. 4,ND,1,GIUNTI ELT,"8,06",Si,Si,No
MTEE808013,4,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788842635307,"AA VV  ",L'ALBERO DEI SAPERI 4 KIT ANTROPOLOGICO,STORIA - GEOGRAFIA - MAPPE STORIA E GEOGRAFIA,1,IL CAPITELLO,"10,73",Si,Si,No
MTEE808013,4,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788842635314,"AA VV  ",L'ALBERO DEI SAPERI 4 KIT SCIENTIFICO,MATEMATICA - SCIENZE - MAPPE MATEMATICA E SCIENZE,1,IL CAPITELLO,"10,73",Si,Si,No
