CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
IBEE81404E,5,A,EE,27 ORE DI LEZIONE + 2 MENSE,PARASCOLASTICA (AMBITO UMANISTICO),9788845161124,"CACCAVO SANDRA  ",ATTIVAMENTE ITALIANO CLASSE 5,ND,U,FABBRI SCUOLA,"9,10",No,Si,No
IBEE81404E,1,A,EE,27 ORE DI LEZIONE + 2 MENSE,PARASCOLASTICA (AMBITO UMANISTICO),9788845154072,"CACCAVO  ",ATTIVAMENTE ITALIANO CLASSE 1,ND,U,FABBRI SCUOLA,"8,00",No,Si,No
IBEE81404E,2,A,EE,27 ORE DI LEZIONE + 2 MENSE,PARASCOLASTICA (AMBITO UMANISTICO),9788845154065,"SANDRA CACCAVO  ",ATTIVAMENTE ITALIANO CLASSE 2,ND,U,FABBRI SCUOLA,"8,00",No,Si,No
IBEE81404E,3,A,EE,27 ORE DI LEZIONE + 2 MENSE,PARASCOLASTICA (AMBITO UMANISTICO),9788845154058,"SANDRA CACCAVO  ",ATTIVAMENTE ITALIANO CLASSE 3,ND,U,FABBRI SCUOLA,"8,00",No,Si,No
IBEE80503P,1,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788847242449,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 1-2-3 (I),ND,U,RAFFAELLO,"8,19",No,Si,No
IBEE80503P,1,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847239265,"PHILIP CURTIS - DONATELLA SANTANDREA ",HAPPY DAYS 1,ND,1,CELTIC PUBLISHING,"4,02",No,Si,No
IBEE80503P,1,A,EE,CORSO A ORARIO ORDINARIO,IL LIBRO DELLA PRIMA CLASSE,9788847237131,SECCHI NICOLETTA - MORGESE ROBERTO - BARTLACCI MARIA LUISA,SPAZIO DELLE IDEE (LO) 1 METODO A,ND,1,RAFFAELLO,"13,10",No,No,No
IBEE80503P,2,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788847242449,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 1-2-3 (I),ND,U,RAFFAELLO,"8,19",No,No,No
IBEE80503P,2,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847239272,"PHILIP CURTIS - DONATELLA SANTANDREA ",HAPPY DAYS 2,ND,2,CELTIC PUBLISHING,"6,03",No,Si,No
IBEE80503P,2,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788847237322,SECCHI NICOLETTA - MORGESE ROBERTO - BARTLACCI MARIA LUISA,SPAZIO DELLE IDEE (LO) 2,ND,2,RAFFAELLO,"18,69",No,Si,No
IBEE80503P,3,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788847242449,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 1-2-3 (I),ND,U,RAFFAELLO,"8,19",No,No,No
