CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
ANEE81302A,1,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788847248502,BADIOLI CLAUDIA - PREVITO ISABELLA - JONES KIM,SUPER FRIENDS 1,ND,1,CELTIC PUBLISHING,"4,02",Si,Si,No
ANEE81302A,1,A,EE,27 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9788847248564,"MORGESE ROBERTO  ",COLIBRI' 1 METODO A STAMPATO,ND,1,RAFFAELLO,"13,34",Si,Si,No
ANEE81302A,2,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788847242449,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 1-2-3 (I),ND,U,RAFFAELLO,"8,19",No,No,No
ANEE81302A,2,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788861617001,"F  FOSTER - B  BROWN ",GO KIDS 2,ND,2,LANG EDIZIONI,"6,03",No,Si,No
ANEE81302A,2,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788876275784,"TEAM DIDATTICO LS SCUOLA  ",TOBIA IL TRENINO DELLA FANTASIA 2,ND,2,LISCIANI SCUOLA,"18,69",No,Si,No
ANEE81302A,3,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788846842947,"PICARIELLO CARMINE  ",DETTO... FATTO! 1-2-3,ND,U,LA SPIGA,"8,19",No,No,No
ANEE81302A,3,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788853640017,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 3,ND,3,ELI,"8,06",No,Si,No
ANEE81302A,3,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9791220411691,"AA  VV  ",NOI DELLA CIURMA,CLASSE 3A,3,A. MONDADORI SCUOLA,"26,71",No,Si,No
ANEE81302A,4,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788847242456,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 4-5 (I),ND,U,RAFFAELLO,"8,19",Si,Si,No
ANEE81302A,4,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788847248533,BADIOLI CLAUDIA - JONES KIM - PREVITO ISABELLA,SUPER FRIENDS 4,ND,1,CELTIC PUBLISHING,"8,06",Si,Si,No
ANEE81302A,4,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788873349723,"AA VV  ",LIBROAGENDA CL. 4 (IL),ND,1,GAIA EDIZIONI,"17,28",Si,Si,No
ANEE81302A,4,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE,9788847242562,CANTILLO VINCENZA - GENTILE PAOLA - MAGNI FABIANA,STUDIO PERCHE' 4 VOLUME UNICO,ND,1,RAFFAELLO,"21,46",Si,Si,No
ANEE81302A,5,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788847242456,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 4-5 (I),ND,U,RAFFAELLO,"8,19",No,No,No
ANEE81302A,5,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788847238121,BADIOLI CLAUDIA - SLATTERY MICHELLE - PREVITO ISABELLA,YOU AND ME FRIENDS 5,ND,2,CELTIC PUBLISHING,"10,08",No,Si,No
ANEE81302A,5,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788861618275,"AA VV  ","STORIE, LAMPI E SCINTILLE 5",ND,2,LANG EDIZIONI,"20,96",No,Si,No
ANEE81302A,5,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE,9788847307469,"AA VV  ",NEL CUORE DEI SAPERI UNICO 5,ND,2,CETEM,"25,00",No,Si,No
ANEE81302A,4,D,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788847242456,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 4-5 (I),ND,U,RAFFAELLO,"8,19",Si,Si,No
ANEE81302A,4,D,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788847248533,BADIOLI CLAUDIA - JONES KIM - PREVITO ISABELLA,SUPER FRIENDS 4,ND,1,CELTIC PUBLISHING,"8,06",Si,Si,No
ANEE81302A,4,D,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DEI LINGUAGGI,9788873349723,"AA VV  ",LIBROAGENDA CL. 4 (IL),ND,1,GAIA EDIZIONI,"17,28",Si,Si,No
ANEE81302A,4,D,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE,9788847242562,CANTILLO VINCENZA - GENTILE PAOLA - MAGNI FABIANA,STUDIO PERCHE' 4 VOLUME UNICO,ND,1,RAFFAELLO,"21,46",Si,Si,No
ANEE81302A,5,B,EE,27 ORE SETTIMANALI,RELIGIONE,9788847242456,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 4-5 (I),ND,U,RAFFAELLO,"8,19",No,No,No
ANEE81302A,5,B,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788847238121,BADIOLI CLAUDIA - SLATTERY MICHELLE - PREVITO ISABELLA,YOU AND ME FRIENDS 5,ND,2,CELTIC PUBLISHING,"10,08",No,Si,No
ANEE81302A,5,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788861618275,"AA VV  ","STORIE, LAMPI E SCINTILLE 5",ND,2,LANG EDIZIONI,"20,96",No,Si,No
ANEE81302A,5,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE,9788847307469,"AA VV  ",NEL CUORE DEI SAPERI UNICO 5,ND,2,CETEM,"25,00",No,Si,No
ANEE81302A,1,C,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788847242449,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 1-2-3 (I),ND,U,RAFFAELLO,"8,19",No,Si,No
ANEE81302A,1,C,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788847248502,BADIOLI CLAUDIA - PREVITO ISABELLA - JONES KIM,SUPER FRIENDS 1,ND,1,CELTIC PUBLISHING,"4,02",Si,Si,No
ANEE81302A,1,C,EE,40 ORE A TEMPO PIENO,IL LIBRO DELLA PRIMA CLASSE,9788847248564,"MORGESE ROBERTO  ",COLIBRI' 1 METODO A STAMPATO,ND,1,RAFFAELLO,"13,34",Si,Si,No
ANEE81302A,2,C,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788847242449,"CALIGARI CARLA RE  ",FIORI DELLA TERRA 1-2-3 (I),ND,U,RAFFAELLO,"8,19",No,No,No
ANEE81302A,2,C,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788861617001,"F  FOSTER - B  BROWN ",GO KIDS 2,ND,2,LANG EDIZIONI,"6,03",No,Si,No
ANEE81302A,2,C,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO (1° BIENNIO),9788876275784,"TEAM DIDATTICO LS SCUOLA  ",TOBIA IL TRENINO DELLA FANTASIA 2,ND,2,LISCIANI SCUOLA,"18,69",No,Si,No
